EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,results_path
vary_B2,49,6,2,46,GPArealModel,7.738022804,,0.314014007,5.913588234,1.066666741,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_46.pt
vary_B2,49,6,2,46,GPmodel,7.982769012,,0.407438833,2.941394437,1.073119325,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_46.pt
vary_B2,49,6,2,46,VI_best_tau_by_ELBO,8.125090599,,0.262076616,3.121252249,1.954209512,-653.5754272,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_46.pt
vary_B2,49,6,2,47,GPArealModel,8.097662926,,0.359928074,5.059145428,1.514947622,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_47.pt
vary_B2,49,6,2,47,GPmodel,7.906621933,,0.564445462,2.729345774,1.340437974,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_47.pt
vary_B2,49,6,2,47,VI_best_tau_by_ELBO,8.348381996,,0.262297899,2.688636858,2.266076393,-659.0588501,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_47.pt
vary_B2,49,6,2,48,GPArealModel,8.011336327,,0.479542494,4.270365309,1.35850322,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_48.pt
vary_B2,49,6,2,48,GPmodel,7.936772346,,0.523918674,3.105008174,1.001563147,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_48.pt
vary_B2,49,6,2,48,VI_best_tau_by_ELBO,8.155731201,,0.262860715,3.386238197,2.15836271,-664.2026245,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_48.pt
vary_B2,49,6,2,49,GPArealModel,7.594232559,,0.604009501,5.513988711,1.239720425,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_49.pt
vary_B2,49,6,2,49,GPmodel,7.916791439,,0.564677684,3.176839292,1.01381776,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_49.pt
vary_B2,49,6,2,49,VI_best_tau_by_ELBO,7.987717152,,0.262910068,4.545920997,2.012909583,-667.5769531,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_49.pt
vary_B2,49,6,2,50,GPArealModel,7.13752079,,0.65472694,1.629260334,0.913362325,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_50.pt
vary_B2,49,6,2,50,GPmodel,7.860334873,,1.197927254,1.259627511,1.013093804,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_50.pt
vary_B2,49,6,2,50,VI_best_tau_by_ELBO,7.848204613,,0.262316942,1.026892065,2.115150781,-619.5188721,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_50.pt
vary_B2,49,6,2,51,GPArealModel,7.974002361,,0.469951706,5.124536681,1.004358224,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_51.pt
vary_B2,49,6,2,51,GPmodel,7.837598324,,0.50695047,3.05019501,1.226400483,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_51.pt
