EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi,results_path,n_correct_perm_s,n_correct_perm_x
vary_B2_annealed,49,6,2.0,27,GPmodel,2.03765606880188,,0.48573487411108257,3.795979245739514,0.429060334696139,,,7.814920130423686,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_27.pt,,
vary_B2_annealed,49,6,2.0,27,VI_best_tau_by_ELBO,1.9936292171478271,,0.2623766362667084,4.937165121278234,1.1270957283578777,-564.1512329101563,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_27.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,28,GPArealModel,1.5800870656967163,,0.6728278914770591,3.2241541234680184,0.026272214942042415,,,4.7919448113098175,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_28.pt,,
vary_B2_annealed,49,6,2.0,28,GPmodel,2.0162079334259033,,0.6104948865306286,3.9125203493840375,0.44425045111560013,,,6.408768420024671,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_28.pt,,
vary_B2_annealed,49,6,2.0,28,VI_best_tau_by_ELBO,1.871463418006897,,0.26238229870796204,4.933361808050993,1.376993439117578,-581.5610961914062,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_28.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,29,GPArealModel,2.0896525382995605,,0.2614683932916442,5.671418037837288,2.2065937207028807,,,21.690644771398194,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_29.pt,,
vary_B2_annealed,49,6,2.0,29,GPmodel,2.028743028640747,,0.40105078973775116,6.544206100526854,0.3650645355279868,,,16.317649205493748,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_29.pt,,
vary_B2_annealed,49,6,2.0,29,VI_best_tau_by_ELBO,2.028824806213379,,0.26264622807502747,6.359854508229595,1.3727869847145577,-615.831787109375,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_29.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,30,GPArealModel,1.6755530834197998,,0.8321064011170892,3.909166443030566,0.10168390096821335,,,4.697916561851434,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_30.pt,,
vary_B2_annealed,49,6,2.0,30,GPmodel,1.9435184001922607,,0.7153354368649234,3.6861422484716813,0.4557056046473738,,,5.153026200724534,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_30.pt,,
